,id,trip_id,timestamp,timespent_s,speed_m_s,distance_m,avg_od_speed_m_s,gps_speed_m_s,spent_fuel%,first_location
0,334455,1,2024-01-01 15:00:00,0,0.0,0,0.0,0.0,0.0,"(53.332025, -6.275705)"
1,334455,1,2024-01-01 15:04:00,240,7.77,1865,,7.77,0.0,"(53.332025, -6.275705)"
2,334455,1,2024-01-01 15:07:00,180,10.36,1865,,10.36,1.03,"(53.332025, -6.275705)"
3,334455,1,2024-01-01 15:09:00,120,15.55,1865,,15.55,0.77,"(53.332025, -6.275705)"
4,334455,1,2024-01-01 15:12:00,180,10.36,1865,,10.36,0.51,"(53.332025, -6.275705)"
5,334455,1,2024-01-01 15:16:00,240,7.77,1865,,7.77,0.77,"(53.332025, -6.275705)"
6,334455,1,2024-01-01 15:17:00,60,31.09,1865,,31.09,1.03,"(53.332025, -6.275705)"
7,334455,1,2024-01-01 15:19:00,120,15.55,1865,,15.55,0.26,"(53.332025, -6.275705)"
8,334455,1,2024-01-01 15:24:00,300,6.22,1865,8.33,6.22,0.51,"(53.332025, -6.275705)"
9,334455,1,2024-01-01 15:27:00,180,10.36,1865,8.33,10.36,1.28,"(53.332025, -6.275705)"
10,334455,1,2024-01-01 15:32:00,300,6.22,1865,10.19,6.22,0.77,"(53.332025, -6.275705)"
11,334455,1,2024-01-01 15:37:00,300,6.22,1865,10.19,6.22,1.28,"(53.332025, -6.275705)"
12,334455,1,2024-01-01 15:42:00,300,6.22,1865,10.19,6.22,1.28,"(53.332025, -6.275705)"
13,334455,1,2024-01-01 15:46:00,240,7.77,1865,10.19,7.77,1.28,"(53.332025, -6.275705)"
14,334455,1,2024-01-01 15:47:00,60,31.1,1865,10.19,31.1,1.03,"(53.332025, -6.275705)"
15,334455,1,2024-01-01 15:51:00,240,7.77,1865,10.19,7.77,0.26,"(53.332025, -6.275705)"
16,334455,1,2024-01-01 15:52:00,60,31.1,1865,10.19,31.1,1.03,"(53.332025, -6.275705)"
17,334455,1,2024-01-01 15:56:00,240,7.77,1865,10.19,7.77,0.26,"(53.332025, -6.275705)"
18,334455,1,2024-01-01 15:59:00,180,10.37,1865,10.19,10.37,1.03,"(53.332025, -6.275705)"
19,334455,1,2024-01-01 16:02:00,180,10.37,1865,10.19,10.37,0.77,"(53.332025, -6.275705)"
20,334455,1,2024-01-01 16:03:00,60,31.1,1865,10.19,31.1,0.77,"(53.332025, -6.275705)"
21,334455,1,2024-01-01 16:04:00,60,31.1,1866,,31.1,0.26,"(53.332025, -6.275705)"
22,334455,1,2024-01-01 16:07:00,180,10.37,1865,12.82,10.37,0.26,"(53.332025, -6.275705)"
23,334455,1,2024-01-01 16:11:00,240,7.78,1866,12.82,7.78,0.77,"(53.332025, -6.275705)"
24,334455,1,2024-01-01 16:12:00,60,31.1,1866,12.82,31.1,1.03,"(53.332025, -6.275705)"
25,334455,1,2024-01-01 16:17:00,300,6.22,1866,12.82,6.22,0.26,"(53.332025, -6.275705)"
26,334455,1,2024-01-01 16:18:00,60,31.1,1866,12.82,31.1,1.28,"(53.332025, -6.275705)"
27,334455,1,2024-01-01 16:21:00,180,10.37,1866,12.82,10.37,0.26,"(53.332025, -6.275705)"
28,334455,1,2024-01-01 16:22:00,60,31.1,1866,12.82,31.1,0.62,"(53.332025, -6.275705)"
29,334455,1,2024-01-01 16:24:00,120,15.55,1866,12.82,15.55,0.21,"(53.332025, -6.275705)"
30,334455,1,2024-01-01 16:25:00,60,31.1,1866,12.82,31.1,0.41,"(53.332025, -6.275705)"
31,334455,1,2024-01-01 16:30:00,300,6.22,1866,12.82,6.22,0.21,"(53.332025, -6.275705)"
32,334455,1,2024-01-01 16:31:00,60,31.1,1866,9.33,31.1,1.03,"(53.332025, -6.275705)"
33,334455,1,2024-01-01 16:35:00,240,7.78,1866,9.33,7.78,0.21,"(53.332025, -6.275705)"
34,334455,1,2024-01-01 16:37:00,120,15.55,1866,9.33,15.55,0.82,"(53.332025, -6.275705)"
35,334455,1,2024-01-01 16:41:00,240,7.78,1866,9.33,7.78,0.41,"(53.332025, -6.275705)"
