,id,timestamp,seq_number,ignition,ignition_filled,odometer_m,pos,fuel_%,prev_pos,current_lat,current_lon,prev_lat,prev_lon,current_loc,prev_loc,gps_distance
0,334459,2024-01-05 12:00:00,1,1,1,4000.0,"(52.052579,4.372771)",80.0,,52.052579,4.372771,,,"(52.052579, 4.372771)",,0.0
1,334459,2024-01-05 12:01:07,1,1,1,4001.65,"(52.043929,4.392128)",80.0,"(52.052579,4.372771)",52.043929,4.392128,52.052579,4.372771,"(52.043929, 4.392128)","(52.052579, 4.372771)",1640.0777861091503
2,334459,2024-01-05 12:01:38,1,1,1,4003.3,"(52.035279,4.411486)",80.0,"(52.043929,4.392128)",52.035279,4.411486,52.043929,4.392128,"(52.035279, 4.411486)","(52.043929, 4.392128)",1640.3401186573694
3,334459,2024-01-05 12:02:58,1,1,1,4004.9500000000003,"(52.026629,4.430843)",79.0,"(52.035279,4.411486)",52.026629,4.430843,52.035279,4.411486,"(52.026629, 4.430843)","(52.035279, 4.411486)",1640.4913130014986
4,334459,2024-01-05 12:04:08,1,1,1,4006.6000000000004,"(52.017979,4.450201)",79.0,"(52.026629,4.430843)",52.017979,4.450201,52.026629,4.430843,"(52.017979, 4.450201)","(52.026629, 4.430843)",1640.7536528006747
5,334459,2024-01-05 12:04:38,1,1,1,4008.2500000000005,"(52.009329,4.469558)",79.0,"(52.017979,4.450201)",52.009329,4.469558,52.017979,4.450201,"(52.009329, 4.469558)","(52.017979, 4.450201)",1640.904796587677
6,334459,2024-01-05 12:05:36,1,1,1,4009.9000000000005,"(52.000679,4.488916)",79.0,"(52.009329,4.469558)",52.000679,4.488916,52.009329,4.469558,"(52.000679, 4.488916)","(52.009329, 4.469558)",1641.1671435725937
7,334459,2024-01-05 12:06:52,1,1,1,4011.5500000000006,"(51.992029,4.508273)",78.0,"(52.000679,4.488916)",51.992029,4.508273,52.000679,4.488916,"(51.992029, 4.508273)","(52.000679, 4.488916)",1641.3182367522375
8,334459,2024-01-05 12:07:31,1,1,1,4013.2000000000007,"(51.983379,4.527631)",78.0,"(51.992029,4.508273)",51.983379,4.527631,51.992029,4.508273,"(51.983379, 4.527631)","(51.992029, 4.508273)",1641.5805908537905
9,334459,2024-01-05 12:08:05,1,1,1,4014.850000000001,"(51.974729,4.546988)",78.0,"(51.983379,4.527631)",51.974729,4.546988,51.983379,4.527631,"(51.974729, 4.546988)","(51.983379, 4.527631)",1641.7316333754884
10,334459,2024-01-05 12:09:20,1,1,1,4016.500000000001,"(51.966079,4.566346)",78.0,"(51.974729,4.546988)",51.966079,4.566346,51.974729,4.546988,"(51.966079, 4.566346)","(51.974729, 4.546988)",1641.993994528112
11,334459,2024-01-05 12:10:40,1,1,1,4018.150000000001,"(51.957429,4.585703)",77.0,"(51.966079,4.566346)",51.957429,4.585703,51.966079,4.566346,"(51.957429, 4.585703)","(51.966079, 4.566346)",1642.1449863370342
12,334459,2024-01-05 12:11:30,1,1,1,4019.800000000001,"(51.948779,4.605061)",77.0,"(51.957429,4.585703)",51.948779,4.605061,51.957429,4.585703,"(51.948779, 4.605061)","(51.957429, 4.585703)",1642.4073544755156
13,334459,2024-01-05 12:12:33,1,1,1,4021.450000000001,"(51.940129,4.624418)",77.0,"(51.948779,4.605061)",51.940129,4.624418,51.948779,4.605061,"(51.940129, 4.624418)","(51.948779, 4.605061)",1642.5582955203697
14,334459,2024-01-05 12:13:04,1,1,1,4023.1000000000013,"(51.931479,4.643775)",77.0,"(51.940129,4.624418)",51.931479,4.643775,51.940129,4.624418,"(51.931479, 4.643775)","(51.940129, 4.624418)",1642.7649336578056
15,334459,2024-01-05 12:13:42,1,1,1,4024.7500000000014,"(51.922829,4.663133)",76.0,"(51.931479,4.643775)",51.922829,4.663133,51.931479,4.643775,"(51.922829, 4.663133)","(51.931479, 4.643775)",1643.0273121511611
16,334459,2024-01-05 12:14:36,1,1,1,4026.4000000000015,"(51.914179,4.68249)",76.0,"(51.922829,4.663133)",51.914179,4.68249,51.922829,4.663133,"(51.914179, 4.68249)","(51.922829, 4.663133)",1643.1781769513564
17,334459,2024-01-05 12:15:50,1,1,1,4028.0500000000015,"(51.905529,4.701848)",76.0,"(51.914179,4.68249)",51.905529,4.701848,51.914179,4.68249,"(51.905529, 4.701848)","(51.914179, 4.68249)",1643.4405622648837
18,334459,2024-01-05 12:16:49,1,1,1,4029.7000000000016,"(51.896879,4.721205)",76.0,"(51.905529,4.701848)",51.896879,4.721205,51.905529,4.701848,"(51.896879, 4.721205)","(51.905529, 4.701848)",1643.591376170308
19,334459,2024-01-05 12:17:23,1,1,1,4031.3500000000017,"(51.888229,4.740563)",75.0,"(51.896879,4.721205)",51.888229,4.740563,51.896879,4.721205,"(51.888229, 4.740563)","(51.896879, 4.721205)",1643.8537682387987
20,334459,2024-01-05 12:18:19,1,1,1,4033.000000000002,"(51.879579,4.75992)",75.0,"(51.888229,4.740563)",51.879579,4.75992,51.888229,4.740563,"(51.879579, 4.75992)","(51.888229, 4.740563)",1644.0045311953327
21,334459,2024-01-05 12:18:59,1,1,1,4034.650000000002,"(51.870929,4.779278)",75.0,"(51.879579,4.75992)",51.870929,4.779278,51.879579,4.75992,"(51.870929, 4.779278)","(51.879579, 4.75992)",1644.2669299542827
22,334459,2024-01-05 12:20:03,1,1,1,4036.300000000002,"(51.862279,4.798635)",75.0,"(51.870929,4.779278)",51.862279,4.798635,51.870929,4.779278,"(51.862279, 4.798635)","(51.870929, 4.779278)",1644.4176419124049
23,334459,2024-01-05 12:20:53,1,1,1,4037.950000000002,"(51.853628,4.817993)",74.0,"(51.862279,4.798635)",51.853628,4.817993,51.862279,4.798635,"(51.853628, 4.817993)","(51.862279, 4.798635)",1644.7451719172661
24,334459,2024-01-05 12:21:38,1,1,1,4039.600000000002,"(51.844978,4.83735)",74.0,"(51.853628,4.817993)",51.844978,4.83735,51.853628,4.817993,"(51.844978, 4.83735)","(51.853628, 4.817993)",1644.8307320739166
25,334459,2024-01-05 12:22:42,1,1,1,4041.2500000000023,"(51.836328,4.856708)",74.0,"(51.844978,4.83735)",51.836328,4.856708,51.844978,4.83735,"(51.836328, 4.856708)","(51.844978, 4.83735)",1645.093144012463
26,334459,2024-01-05 12:23:45,1,1,1,4042.9000000000024,"(51.827678,4.876065)",74.0,"(51.836328,4.856708)",51.827678,4.876065,51.836328,4.856708,"(51.827678, 4.876065)","(51.836328, 4.856708)",1645.2437538117342
27,334459,2024-01-05 12:24:28,1,1,1,4044.5500000000025,"(51.819028,4.895422)",73.0,"(51.827678,4.876065)",51.819028,4.895422,51.827678,4.876065,"(51.819028, 4.895422)","(51.827678, 4.876065)",1645.4502479386617
28,334459,2024-01-05 12:24:58,1,1,1,4046.2000000000025,"(51.810378,4.91478)",73.0,"(51.819028,4.895422)",51.810378,4.91478,51.819028,4.895422,"(51.810378, 4.91478)","(51.819028, 4.895422)",1645.7126695919526
29,334459,2024-01-05 12:26:12,1,1,1,4047.8500000000026,"(51.801728,4.934137)",73.0,"(51.810378,4.91478)",51.801728,4.934137,51.810378,4.91478,"(51.801728, 4.934137)","(51.810378, 4.91478)",1645.8632026357054
30,334459,2024-01-05 12:26:45,1,1,1,4049.5000000000027,"(51.793078,4.953495)",73.0,"(51.801728,4.934137)",51.793078,4.953495,51.801728,4.934137,"(51.793078, 4.953495)","(51.801728, 4.934137)",1646.1256306819478
31,334459,2024-01-05 12:27:26,1,1,1,4051.150000000003,"(51.784428,4.972852)",72.0,"(51.793078,4.953495)",51.784428,4.972852,51.793078,4.953495,"(51.784428, 4.972852)","(51.793078, 4.953495)",1646.2761124933106
32,334459,2024-01-05 12:28:14,1,1,1,4052.800000000003,"(51.775778,4.99221)",72.0,"(51.784428,4.972852)",51.775778,4.99221,51.784428,4.972852,"(51.775778, 4.99221)","(51.784428, 4.972852)",1646.5385468658835
33,334459,2024-01-05 12:29:29,1,1,1,4054.450000000003,"(51.767128,5.011567)",72.0,"(51.775778,4.99221)",51.767128,5.011567,51.775778,4.99221,"(51.767128, 5.011567)","(51.775778, 4.99221)",1646.6889773921512
34,334459,2024-01-05 12:30:37,1,1,1,4056.100000000003,"(51.758478,5.030925)",72.0,"(51.767128,5.011567)",51.758478,5.030925,51.767128,5.011567,"(51.758478, 5.030925)","(51.767128, 5.011567)",1646.9514180279718
35,334459,2024-01-05 12:31:19,1,1,1,4057.750000000003,"(51.749828,5.050282)",71.0,"(51.758478,5.030925)",51.749828,5.050282,51.758478,5.030925,"(51.749828, 5.050282)","(51.758478, 5.030925)",1647.1017972146783
36,334459,2024-01-05 12:31:49,1,1,1,4059.4000000000033,"(51.741178,5.06964)",71.0,"(51.749828,5.050282)",51.741178,5.06964,51.749828,5.050282,"(51.741178, 5.06964)","(51.749828, 5.050282)",1647.3642440492458
37,334459,2024-01-05 12:33:05,1,1,1,4061.0500000000034,"(51.732528,5.088997)",71.0,"(51.741178,5.06964)",51.732528,5.088997,51.741178,5.06964,"(51.732528, 5.088997)","(51.741178, 5.06964)",1647.5145718465194
38,334459,2024-01-05 12:34:14,1,1,1,4062.7000000000035,"(51.723878,5.108355)",71.0,"(51.732528,5.088997)",51.723878,5.108355,51.732528,5.088997,"(51.723878, 5.108355)","(51.732528, 5.088997)",1647.7770248103848
39,334459,2024-01-05 12:35:01,1,1,1,4064.3500000000035,"(51.715228,5.127712)",70.0,"(51.723878,5.108355)",51.715228,5.127712,51.723878,5.108355,"(51.715228, 5.127712)","(51.723878, 5.108355)",1647.9273011669434
40,334459,2024-01-05 12:35:56,1,1,1,4066.0000000000036,"(51.706578,5.147069)",70.0,"(51.715228,5.127712)",51.706578,5.147069,51.715228,5.127712,"(51.706578, 5.147069)","(51.715228, 5.127712)",1648.1336488006252
41,334459,2024-01-05 12:36:55,1,1,1,4067.6500000000037,"(51.697928,5.166427)",70.0,"(51.706578,5.147069)",51.697928,5.166427,51.706578,5.147069,"(51.697928, 5.166427)","(51.706578, 5.147069)",1648.3961108377289
42,334459,2024-01-05 12:37:55,1,1,1,4069.300000000004,"(51.689278,5.185784)",70.0,"(51.697928,5.166427)",51.689278,5.185784,51.697928,5.166427,"(51.689278, 5.185784)","(51.697928, 5.166427)",1648.5463099374915
43,334459,2024-01-05 12:39:09,1,1,1,4070.950000000004,"(51.680628,5.205142)",69.0,"(51.689278,5.185784)",51.680628,5.205142,51.689278,5.185784,"(51.680628, 5.205142)","(51.689278, 5.185784)",1648.8087779428274
44,334459,2024-01-05 12:40:27,1,1,1,4072.600000000004,"(51.671978,5.224499)",69.0,"(51.680628,5.205142)",51.671978,5.224499,51.680628,5.205142,"(51.671978, 5.224499)","(51.680628, 5.205142)",1648.9589254694201
45,334459,2024-01-05 12:41:07,1,1,1,4074.250000000004,"(51.663328,5.243857)",69.0,"(51.671978,5.224499)",51.663328,5.243857,51.671978,5.224499,"(51.663328, 5.243857)","(51.671978, 5.224499)",1649.2213993792002
46,334459,2024-01-05 12:42:24,1,1,1,4075.900000000004,"(51.654678,5.263214)",69.0,"(51.663328,5.243857)",51.654678,5.263214,51.663328,5.243857,"(51.654678, 5.263214)","(51.663328, 5.243857)",1649.3714952852272
47,334459,2024-01-05 12:42:59,1,1,1,4077.5500000000043,"(51.646028,5.282572)",68.0,"(51.654678,5.263214)",51.646028,5.282572,51.654678,5.263214,"(51.646028, 5.282572)","(51.654678, 5.263214)",1649.6339750303596
48,334459,2024-01-05 12:43:50,1,1,1,4079.2000000000044,"(51.637378,5.301929)",68.0,"(51.646028,5.282572)",51.637378,5.301929,51.646028,5.282572,"(51.637378, 5.301929)","(51.646028, 5.282572)",1649.7840192634794
49,334459,2024-01-05 12:45:00,1,1,1,4080.8500000000045,"(51.628728,5.321287)",68.0,"(51.637378,5.301929)",51.628728,5.321287,51.637378,5.301929,"(51.628728, 5.321287)","(51.637378, 5.301929)",1650.046504781238
